session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,fqid,room_fqid,text_fqid,fullscreen,hq,music,level_group
2.00903E+16,0,0,cutscene_click,basic,0,,-413.9914052,-159.3146862,380,494,,undefined,intro,tunic.historicalsociety.closet,tunic.historicalsociety.closet.intro,0,0,1,0-4
2.00903E+16,1,1323,person_click,basic,0,,-413.9914052,-159.3146862,380,494,,"Whatcha doing over there, Jo?",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
2.00903E+16,2,831,person_click,basic,0,,-413.9914052,-159.3146862,380,494,,Just talking to Teddy.,gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
2.00903E+16,3,1147,person_click,basic,0,,-413.9914052,-159.3146862,380,494,,I gotta run to my meeting!,gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
2.00903E+16,4,1863,person_click,basic,0,,-412.9914052,-159.3146862,381,494,,"Can I come, Gramps?",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
2.00903E+16,5,3423,person_click,basic,0,,-412.9914052,-157.3146862,381,492,,"Sure thing, Jo. Grab your notebook and come upstairs!",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
2.00903E+16,6,5197,person_click,basic,0,,478.4850795,-199.9716787,593,485,,"See you later, Teddy.",teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
2.00903E+16,7,6180,person_click,basic,0,,503.3551279,-168.619913,609,453,,I get to go to Gramps's meeting!,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
2.00903E+16,8,7014,person_click,basic,0,,510.733442,-157.7206419,615,442,,Now where did I put my notebook?,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
2.00903E+16,9,7946,person_click,basic,0,,512.048005,-153.7436306,616,438,,\u00f0\u0178\u02dc\u00b4,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
2.00903E+16,10,9133,navigate_click,undefined,0,,501.1100351,-160.7481638,605,445,,,teddy,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,11,10263,person_click,basic,0,,501.0849906,-164.7623661,605,445,,\u00f0\u0178\u02dc\u00b4,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_5,0,0,1,0-4
2.00903E+16,12,12030,navigate_click,undefined,0,,510.0814898,-106.3520933,614,386,,,photo,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,13,13030,observation_click,basic,0,,486.8774707,-98.53828842,614,386,,I love these photos of me and Teddy!,photo,tunic.historicalsociety.closet,tunic.historicalsociety.closet.photo,0,0,1,0-4
2.00903E+16,14,14814,navigate_click,undefined,0,,273.99141,-196.8023714,406,486,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,15,15498,navigate_click,undefined,0,,185.7084604,-205.8065333,363,492,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,16,16046,navigate_click,undefined,0,,0.583564829,-225.6912958,234,510,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,17,17462,navigate_click,undefined,0,,350.3442699,-173.9486286,766,454,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,18,18164,navigate_click,undefined,0,,-37.96171554,-255.7111275,301,542,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,19,18796,navigate_click,undefined,0,,-133.2367517,-251.3760329,203,531,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,20,19380,navigate_click,undefined,0,,-253.4018437,-253.0230185,201,530,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,21,20014,navigate_click,undefined,0,,-385.0962304,-253.1346583,197,529,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,22,20681,navigate_click,undefined,0,,-564.0557389,-216.5074161,133,492,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,23,21413,navigate_click,undefined,0,,-720.3253325,-207.4299184,99,487,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,24,22013,navigate_click,undefined,0,,-818.1288936,-194.2446429,92,476,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,25,22996,navigate_click,undefined,0,,-924.6925896,-254.2805415,75,539,,,notebook,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,26,24348,notification_click,basic,0,,-472.142708,-117.9428456,554,394,,Found it!,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.notebook,0,0,1,0-4
2.00903E+16,27,25766,object_click,close,0,,-206.4714675,199.1552798,822,76,,,notebook,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,28,28113,navigate_click,undefined,1,,-587.6578793,-27.91691316,441,303,,,retirement_letter,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,29,32229,notification_click,basic,1,,-182.5581627,-1.906500965,767,305,,Gramps is in trouble for losing papers?,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.retirement_letter.hub,0,0,1,0-4
2.00903E+16,30,33063,notification_click,basic,1,,-182.500704,-55.88829643,767,359,,This can't be right!,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.retirement_letter.hub,0,0,1,0-4
2.00903E+16,31,34245,notification_click,basic,1,,-182.4865231,-55.88380352,767,359,,Gramps is a great historian!,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.retirement_letter.hub,0,0,1,0-4
2.00903E+16,32,36433,object_click,close,1,,-113.4848316,241.1167324,836,62,,,retirement_letter,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,33,36346,navigate_click,undefined,1,,-453.4847197,-193.8832321,496,497,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,34,36896,navigate_click,undefined,1,,-381.2449884,-22.45463197,525,316,,,,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,35,37445,navigate_click,undefined,1,,-358.8320328,54.8478224,462,249,,,tobasement,tunic.historicalsociety.closet,,0,0,1,0-4
2.00903E+16,36,39845,navigate_click,undefined,1,,-234.2478168,-77.05221185,245,376,,,janitor,tunic.historicalsociety.basement,,0,0,1,0-4
2.00903E+16,37,41297,observation_click,basic,1,,-400.311667,-117.4764543,179,405,,Hmm. Button's still not working.,janitor,tunic.historicalsociety.basement,tunic.historicalsociety.basement.janitor,0,0,1,0-4
2.00903E+16,38,41898,navigate_click,undefined,1,,-418.3705975,-120.2643331,172,407,,,,tunic.historicalsociety.basement,,0,0,1,0-4
2.00903E+16,39,43413,navigate_click,undefined,1,,-486.2659767,-109.1128179,151,399,,,toentry,tunic.historicalsociety.basement,,0,0,1,0-4
2.00903E+16,40,44196,navigate_click,undefined,1,,385.587985,-135.7766801,461,413,,,groupconvo,tunic.historicalsociety.entry,,0,0,1,0-4
2.00903E+16,41,45062,cutscene_click,basic,1,,93.81170338,-60.34544965,338,368,,Let's get started. The Wisconsin Wonders exhibit opens tomorrow!,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4
